ID	LAMBX	LAMBY	ALT	beta_pm10
67	179667	70523	476.4	0.1412
68	176652	70727	441.5	0
69	173639	70931	390.5	0
70	170622	71135	283.1	0.0639
71	197121	60133	361.3	0.1512
72	194106	60338	313.0	0.1727
73	191092	60544	264.3	0.2466
74	188078	60749	296.1	0.119
75	185067	60953	297.6	0.0452
76	197332	63187	401.4	0.2256
77	194319	63393	362.0	0.3449
78	191304	63597	310.9	0.1436
79	188291	63802	296.9	0.2159
80	185278	64007	268.5	0.1388
81	197543	66241	396.9	0.3106
82	194530	66445	378.0	0.4006
83	191516	66651	368.2	0.2479
84	188503	66856	373.9	0.2238
85	185488	67060	341.9	0.0075
86	197750	69295	394.2	0.48
87	194735	69501	401.3	0.362
88	191721	69705	397.4	0.4021
89	188709	69909	399.1	0.2075
90	185692	70115	423.9	0
91	197957	72349	378.0	0.1843
92	196075	44884	251.0	0.3774
93	193064	45089	239.6	0.3972
94	190050	45292	170.2	0.6041
95	187039	45499	172.9	0.4847
96	184026	45704	175.1	0.6077
97	196287	47933	313.4	0.1468
98	193275	48138	276.2	0.2955
99	190263	48344	234.1	0.4639
100	187251	48548	209.2	0.3571
101	184235	48751	208.4	0.4086
102	196499	50982	395.3	0
103	193486	51188	382.4	0
104	190474	51392	364.7	0
105	187459	51597	323.5	0
106	184446	51801	245.9	0.0588
107	196704	54032	346.4	0.2189
108	193691	54238	374.1	0
109	190677	54442	387.3	0.0051
110	187665	54646	363.8	0.2052
111	184652	54853	286.9	0.1559
112	196912	57082	281.5	0.1648
113	193897	57287	292.5	0.1578
114	190881	57492	333.9	0.0002
115	187871	57697	355.7	0.2458
116	184859	57900	316.0	0.0399
117	212188	59104	401.1	0.3143
118	209174	59310	384.8	0.0626
119	206162	59517	371.3	0.1559
120	203148	59723	398.1	0.4202
121	200134	59928	399.7	0.2744
122	212401	62158	435.0	0.5335
123	209386	62364	421.8	0.4115
124	206374	62570	398.7	0.5371
125	203360	62775	404.8	0.3832
126	200345	62982	420.4	0.2407
127	212612	65211	455.4	0.4193
128	209596	65418	432.0	0.5154
129	206583	65624	415.5	0.4529
130	203570	65830	405.3	0.4037
131	200557	66035	415.3	0.3885
132	212821	68265	428.3	0.2791
133	209807	68472	428.8	0.2235
134	206793	68678	395.5	0.3474
135	203778	68884	373.8	0.3773
136	200763	69089	397.3	0.318
137	213032	71320	405.4	0.4274
138	210018	71525	385.1	0.3111
139	207004	71732	402.3	0.2485
140	203989	71937	365.5	0.2783
141	200971	72144	382.2	0.3402
142	211138	43854	305.9	0.358
143	208126	44061	263.5	0.3357
144	205113	44266	280.4	0.1754
145	202102	44472	267.7	0.3269
146	199088	44679	247.8	0.4419
147	211349	46904	329.5	0.3712
148	208336	47109	331.5	0.1088
149	205324	47317	378.4	0.0163
150	202312	47522	381.9	0
151	199299	47726	354.3	0.0053
152	211561	49952	382.5	0.0071
153	208549	50160	414.0	0.0146
154	205535	50366	408.9	0.0255
155	202521	50571	374.6	0.0035
