ID	LAMBX	LAMBY	ALT	BETA
664	184547	97788	225.2	0.237365
665	181531	97993	184.1	0.217789
666	178519	98197	196.0	0.120113
667	175501	98400	222.2	0.134204
668	172482	98605	251.9	0.216139
669	184755	100841	183.9	0.331459
670	181740	101045	193.3	0.372673
671	178726	101248	245.6	0.14115
672	183100	76426	344.6	0.0806282
673	180084	76630	389.8	0.00890981
674	177069	76834	294.8	0.00454446
675	174049	77038	203.6	0.179226
676	171034	77242	320.8	0.0156186
677	183306	79478	320.6	0.0468139
678	180290	79682	321.7	0.0752037
679	177277	79886	272.7	0.0206294
680	174260	80089	265.1	0.0261784
681	171243	80293	330.8	0.078996
682	183513	82529	274.0	0.0164298
683	180496	82734	321.3	0
684	177482	82938	260.4	0.00850934
685	174466	83141	216.1	0.0471773
686	171450	83344	289.0	0.000135468
687	183723	85581	271.5	0.103767
688	180705	85785	221.8	0.188646
689	177691	85989	212.1	0.0940179
690	174673	86194	158.9	0.301723
691	171657	86396	197.8	0.147601
692	183928	88633	204.9	0.156606
693	180911	88837	146.8	0.296944
694	177898	89041	165.4	0.248277
695	174881	89244	205.3	0.280052
696	171864	89449	222.8	0.258341
697	182887	73374	398.2	0.0162305
698	179874	73577	446.6	0
699	176858	73781	425.6	0
700	173841	73986	260.2	0.144295
701	170825	74187	261.7	0.001402
702	199217	90660	151.9	0.23176
703	196202	90866	151.6	0.280077
704	193182	91071	166.4	0.29796
705	190165	91276	193.7	0.32734
706	187150	91481	173.3	0.19254
707	199426	93712	150.5	0.314595
708	196411	93916	197.2	0.203658
709	193391	94122	205.3	0.147028
710	190374	94328	252.1	0.285708
711	187359	94532	247.4	0.274299
712	199631	96764	183.8	0.182716
713	196616	96970	162.5	0.240433
714	193600	97174	217.3	0.099096
715	190583	97380	246.8	0.215044
716	187566	97585	258.2	0.34168
717	199842	99816	254.3	0.146579
718	196825	100021	236.7	0.201369
719	193809	100227	203.0	0.21612
720	190791	100431	188.5	0.228106
721	187772	100636	184.3	0.310097
722	198171	75403	363.3	0.175061
723	195159	75607	400.6	0.0869871
724	192143	75812	366.2	0.204373
725	189125	76016	358.3	0.207946
726	186112	76222	375.4	0.193859
727	198382	78453	417.7	0.096625
728	195366	78658	400.1	0.0231306
729	192351	78863	380.5	0.132537
730	189335	79069	334.3	0.0800421
731	186320	79273	336.7	0.105521
732	198588	81505	367.8	0.00837777
733	195572	81710	349.1	0.0433659
734	192560	81915	347.6	0.139101
735	189544	82120	344.1	0.0747206
736	186529	82325	326.4	0.0261577
737	198797	84556	287.2	0.231892
738	195783	84763	276.9	0.196945
739	192768	84967	288.4	0.234209
740	189754	85171	316.5	0.0490739
741	186740	85377	314.7	0.0631579
742	199007	87609	212.1	0.203693
743	195992	87813	245.9	0.242939
744	192974	88020	245.5	0.291417
745	189959	88224	243.4	0.297009
746	186945	88429	245.6	0.298195
747	194944	72553	397.2	0.0757769
748	191929	72760	364.3	0.243454
749	188914	72965	360.3	0.142258
750	185900	73167	406.6	0.0292171
751	214296	89630	269.8	0.27621
752	211281	89836	242.2	0.205432
753	208263	90043	189.0	0.241519
754	205247	90248	192.2	0.244494
755	202231	90455	177.1	0.198003
756	214507	92682	251.2	0.284954
