ID	X	Y	ALT	BETA
13409	163500.000000	111500.000000	200.3	0.147739
13410	163500.000000	110500.000000	206.8	0.128120
13411	163500.000000	109500.000000	225.4	0.136361
13412	163500.000000	108500.000000	236.0	0.140124
13413	163500.000000	107500.000000	238.2	0.144362
13414	163500.000000	106500.000000	266.0	0.139673
13415	163500.000000	105500.000000	257.9	0.150177
13416	163500.000000	104500.000000	269.7	0.126160
13417	163500.000000	103500.000000	273.1	0.139830
13418	163500.000000	102500.000000	266.7	0.136263
13419	163500.000000	101500.000000	237.4	0.101317
13420	163500.000000	100500.000000	251.2	0.107017
13421	163500.000000	99500.000000	249.6	0.142546
13422	163500.000000	98500.000000	260.2	0.152044
13423	163500.000000	97500.000000	259.0	0.164865
13424	163500.000000	96500.000000	276.5	0.150697
13425	163500.000000	95500.000000	258.0	0.071719
13426	163500.000000	94500.000000	225.8	0.062765
13427	163500.000000	93500.000000	227.6	0.048831
13428	163500.000000	92500.000000	228.8	0.034073
13429	163500.000000	91500.000000	245.1	0.037091
13430	163500.000000	90500.000000	202.2	0.025706
13431	163500.000000	89500.000000	184.5	0.045619
13432	163500.000000	88500.000000	180.9	0.057974
13433	163500.000000	87500.000000	184.3	0.070669
13434	163500.000000	86500.000000	167.7	0.109957
13435	163500.000000	85500.000000	155.6	0.127499
13436	163500.000000	84500.000000	160.9	0.157445
13437	163500.000000	83500.000000	177.6	0.145900
13438	163500.000000	82500.000000	218.0	0.105674
13439	163500.000000	81500.000000	190.7	0.060622
13440	163500.000000	80500.000000	264.7	0.006121
13441	163500.000000	79500.000000	298.1	0.000000
13442	163500.000000	78500.000000	297.7	0.000000
13443	163500.000000	77500.000000	307.6	0.000642
13444	163500.000000	76500.000000	318.5	0.009466
13445	163500.000000	75500.000000	346.2	0.016951
13446	163500.000000	74500.000000	358.3	0.025275
13447	163500.000000	73500.000000	318.5	0.036362
13448	164500.000000	235500.000000	11.7	0.067556
13449	164500.000000	234500.000000	12.2	0.107402
13450	164500.000000	233500.000000	14.0	0.161887
13451	164500.000000	232500.000000	17.7	0.236867
13452	164500.000000	231500.000000	19.4	0.242043
13453	164500.000000	230500.000000	17.8	0.210931
13454	164500.000000	229500.000000	22.0	0.165234
13455	164500.000000	228500.000000	19.5	0.072684
13456	164500.000000	227500.000000	17.3	0.074436
13457	164500.000000	226500.000000	21.9	0.091185
13458	164500.000000	225500.000000	25.4	0.211701
13459	164500.000000	224500.000000	25.4	0.321104
13460	164500.000000	223500.000000	25.1	0.387786
13461	164500.000000	222500.000000	23.2	0.490575
13462	164500.000000	221500.000000	21.9	0.478102
13463	164500.000000	220500.000000	21.1	0.404106
13464	164500.000000	219500.000000	16.6	0.345657
13465	164500.000000	218500.000000	15.8	0.323018
13466	164500.000000	217500.000000	13.9	0.332796
13467	164500.000000	216500.000000	11.3	0.437278
13468	164500.000000	215500.000000	11.8	0.536559
13469	164500.000000	214500.000000	14.6	0.547471
13470	164500.000000	213500.000000	15.8	0.498576
13471	164500.000000	212500.000000	10.6	0.499790
13472	164500.000000	211500.000000	11.6	0.503006
13473	164500.000000	210500.000000	7.0	0.485377
13474	164500.000000	209500.000000	7.3	0.501987
13475	164500.000000	208500.000000	13.3	0.408361
13476	164500.000000	207500.000000	10.3	0.278904
13477	164500.000000	206500.000000	9.5	0.229239
13478	164500.000000	205500.000000	9.5	0.265292
13479	164500.000000	204500.000000	8.1	0.351015
13480	164500.000000	203500.000000	7.8	0.462641
13481	164500.000000	202500.000000	6.7	0.461239
13482	164500.000000	201500.000000	6.7	0.392632
13483	164500.000000	200500.000000	5.7	0.298838
13484	164500.000000	199500.000000	2.7	0.171025
13485	164500.000000	198500.000000	3.8	0.131825
13486	164500.000000	197500.000000	4.1	0.108060
13487	164500.000000	196500.000000	6.9	0.151675
13488	164500.000000	195500.000000	10.8	0.190420
13489	164500.000000	194500.000000	9.4	0.198566
13490	164500.000000	193500.000000	9.3	0.226248
13491	164500.000000	192500.000000	8.8	0.182706
13492	164500.000000	191500.000000	6.1	0.244429
13493	164500.000000	190500.000000	6.2	0.269882
13494	164500.000000	189500.000000	6.6	0.277910
13495	164500.000000	188500.000000	7.9	0.286823
13496	164500.000000	187500.000000	4.0	0.247011
13497	164500.000000	186500.000000	3.8	0.292040
13498	164500.000000	185500.000000	7.5	0.317965
13499	164500.000000	184500.000000	8.5	0.368463
13500	164500.000000	183500.000000	8.3	0.383414
13501	164500.000000	182500.000000	8.9	0.382595
13502	164500.000000	181500.000000	9.9	0.384921
13503	164500.000000	180500.000000	11.4	0.352258
13504	164500.000000	179500.000000	13.7	0.307489
13505	164500.000000	178500.000000	16.0	0.307307
13506	164500.000000	177500.000000	23.2	0.345833
13507	164500.000000	176500.000000	29.9	0.385358
13508	164500.000000	175500.000000	37.2	0.426116
13509	164500.000000	174500.000000	41.7	0.369359
13510	164500.000000	173500.000000	50.8	0.325347
