ID	X	Y	ALT	BETA
404	35500.000000	181500.000000	1.3	0.359603
405	35500.000000	180500.000000	0.6	0.320727
406	35500.000000	179500.000000	3.2	0.301567
407	35500.000000	178500.000000	6.5	0.247094
408	35500.000000	177500.000000	10.3	0.228881
409	35500.000000	176500.000000	15.8	0.219085
410	35500.000000	175500.000000	18.7	0.237648
411	35500.000000	174500.000000	18.9	0.329891
412	35500.000000	173500.000000	24.0	0.378982
413	35500.000000	172500.000000	26.8	0.375113
414	35500.000000	171500.000000	20.7	0.345787
415	35500.000000	170500.000000	21.7	0.268038
416	35500.000000	169500.000000	23.0	0.216679
417	35500.000000	168500.000000	27.4	0.237133
418	35500.000000	167500.000000	36.7	0.252976
419	35500.000000	166500.000000	41.3	0.270477
420	35500.000000	165500.000000	61.4	0.273135
421	35500.000000	164500.000000	66.7	0.252935
422	36500.000000	207500.000000	0.0	0.184997
423	36500.000000	206500.000000	0.0	0.340213
424	36500.000000	205500.000000	0.0	0.440188
425	36500.000000	204500.000000	5.0	0.479291
426	36500.000000	203500.000000	5.3	0.451383
427	36500.000000	202500.000000	1.8	0.375203
428	36500.000000	201500.000000	1.1	0.291617
429	36500.000000	200500.000000	0.1	0.229767
430	36500.000000	199500.000000	0.0	0.206992
431	36500.000000	198500.000000	0.1	0.193969
432	36500.000000	197500.000000	0.0	0.206397
433	36500.000000	196500.000000	0.0	0.214704
434	36500.000000	195500.000000	0.5	0.244031
435	36500.000000	194500.000000	0.8	0.254381
436	36500.000000	193500.000000	0.9	0.281219
437	36500.000000	192500.000000	0.6	0.298874
438	36500.000000	191500.000000	0.3	0.290813
439	36500.000000	190500.000000	0.8	0.293695
440	36500.000000	189500.000000	1.5	0.292393
441	36500.000000	188500.000000	1.1	0.293774
442	36500.000000	187500.000000	1.4	0.294666
443	36500.000000	186500.000000	1.6	0.302866
444	36500.000000	185500.000000	2.5	0.337723
445	36500.000000	184500.000000	3.3	0.362165
446	36500.000000	183500.000000	1.7	0.365910
447	36500.000000	182500.000000	0.5	0.367402
448	36500.000000	181500.000000	1.0	0.327839
449	36500.000000	180500.000000	2.5	0.298928
450	36500.000000	179500.000000	4.5	0.298358
451	36500.000000	178500.000000	5.5	0.279224
452	36500.000000	177500.000000	9.6	0.262220
453	36500.000000	176500.000000	12.8	0.240575
454	36500.000000	175500.000000	15.3	0.233704
455	36500.000000	174500.000000	16.4	0.287968
456	36500.000000	173500.000000	24.2	0.317836
457	36500.000000	172500.000000	18.5	0.316959
458	36500.000000	171500.000000	19.1	0.305628
459	36500.000000	170500.000000	24.3	0.251059
460	36500.000000	169500.000000	28.8	0.237925
461	36500.000000	168500.000000	32.4	0.258738
462	36500.000000	167500.000000	41.6	0.283357
463	36500.000000	166500.000000	47.7	0.314342
464	36500.000000	165500.000000	50.4	0.308986
465	36500.000000	164500.000000	56.5	0.291411
466	36500.000000	163500.000000	93.4	0.259105
467	36500.000000	162500.000000	99.0	0.204660
468	36500.000000	161500.000000	43.5	0.213586
469	37500.000000	207500.000000	0.0	0.254952
