ID	LAMBX	LAMBY	ALT	BETA
754	205247	90248	192.2	0.376281
755	202231	90455	177.1	0.265032
756	214507	92682	251.2	0.299323
757	211490	92888	253.1	0.376668
758	208474	93094	186.6	0.29303
759	205459	93301	160.0	0.304484
760	202442	93506	167.2	0.2311
761	214718	95733	254.0	0.750372
762	211699	95941	219.6	0.648425
763	208682	96147	202.9	0.215504
764	205666	96352	191.5	0.217076
765	202649	96558	202.3	0.131214
766	214926	98785	274.5	0.199633
767	211908	98991	229.7	0.723159
768	208890	99198	207.2	0.231063
769	205876	99404	248.1	0.172612
770	202860	99610	260.7	0.22012
771	213244	74372	407.0	0.408325
772	210230	74578	375.3	0.282313
773	207216	74784	360.8	0.114966
774	204200	74991	352.0	0.0270842
775	201185	75195	366.8	0.260719
776	213454	77423	437.8	0.146871
777	210441	77630	423.4	0.278615
778	207426	77836	395.2	0.228232
779	204409	78042	337.6	0.192857
780	201396	78248	359.4	0.065387
781	213663	80475	364.3	0.0700334
782	210651	80681	400.0	0.0199396
783	207635	80888	378.4	0.000503842
784	204617	81093	300.6	0.0154533
785	201604	81300	364.6	0.0878156
786	213875	83527	328.9	0.0689919
787	210861	83734	374.6	0.107402
788	207845	83938	332.4	0.132705
789	204829	84146	265.5	0.285599
790	201812	84351	299.4	0.39101
791	214086	86578	291.2	0.343563
792	211069	86785	268.8	0.332687
793	208054	86992	232.1	0.346881
794	205038	87197	230.7	0.795069
795	202019	87403	231.3	0.549573
796	229376	88594	469.8	0.182044
797	226360	88801	504.4	0.00353345
798	223345	89010	518.8	0
799	220328	89216	399.9	0.120193
800	217311	89423	298.6	0.17361
801	229587	91645	466.1	0.0852997
802	226572	91854	468.5	0
803	223556	92059	445.2	0.0395851
804	220539	92268	357.2	0.339039
805	217523	92475	286.7	0.341694
806	229797	94697	433.2	0.213654
807	226782	94904	415.6	0.248594
808	223765	95113	342.3	0.374226
809	220749	95319	292.8	0.35674
810	217734	95526	281.2	0.285268
811	230011	97748	357.3	0.263584
812	226995	97957	363.6	0.290045
813	223976	98163	363.4	0.312661
814	220959	98372	290.9	0.359457
