ID	LAMBX	LAMBY	ALT	BETA
475	260188	52720	304.9	0.226697
476	270302	24425	286.8	0.449301
477	267291	24635	291.5	0.537342
478	264281	24847	325.1	0.614424
479	261270	25056	315.3	0.895766
480	258259	25266	387.0	0.400802
481	270518	27476	317.9	0.264781
482	267507	27687	308.9	0.212603
483	264495	27897	318.9	0.272105
484	261484	28107	291.4	0.342537
485	258476	28318	302.1	0.51845
486	270737	30527	323.4	0.139021
487	267724	30738	330.0	0.240893
488	264713	30949	342.9	0.205561
489	261703	31159	326.8	0.203661
490	258694	31369	342.3	0.185474
491	270950	33579	296.0	0.178411
492	267939	33789	326.6	0.14904
493	264929	34000	339.1	0.265954
494	261917	34211	364.1	0.180211
495	258905	34421	343.0	0.16949
496	271165	36630	317.8	0.323528
497	268153	36842	309.3	0.293365
498	265142	37052	322.1	0.172224
499	262130	37261	321.2	0.228944
500	259117	37473	327.7	0.286994
501	108729	96722	146.7	0.164337
502	105715	96920	168.5	0.163307
503	102697	97117	167.6	0.172243
504	99678	97317	155.1	0.200125
505	96663	97514	135.1	0.336968
506	108931	99773	144.5	0.279928
507	105913	99972	168.0	0.166088
508	102898	100170	165.7	0.208222
509	99880	100368	144.9	0.121422
510	96862	100567	126.3	0.404365
511	138889	94725	249.6	0.0764565
512	135875	94925	228.9	0.142893
513	132861	95125	223.7	0.216075
514	129847	95325	206.0	0.132309
515	126831	95526	196.7	0.258337
516	139094	97777	235.8	0.183865
517	136079	97977	214.3	0.117763
518	133066	98177	215.8	0.189071
519	130051	98378	203.0	0.206885
520	127033	98578	180.9	0.233753
521	139299	100827	199.6	0.223233
522	136283	101031	210.5	0.0912053
523	133268	101228	211.3	0.184541
524	137872	79464	269.1	0.168353
525	134858	79664	247.6	0.284884
526	131842	79866	247.2	0.166435
527	128827	80065	227.0	0.192068
528	125812	80265	199.6	0.172399
529	138076	82516	222.5	0.325532
530	135061	82717	214.5	0.469433
531	132045	82916	221.8	0.239787
532	129031	83117	197.1	0.316071
533	126017	83317	193.0	0.140228
534	138281	85568	199.2	0.0735787
535	135264	85768	203.5	0.16256
536	132248	85970	207.6	0.165514
537	129232	86170	204.9	0.163665
538	126218	86369	213.3	0.121718
539	138484	88619	213.5	0.0722835
540	135468	88822	202.2	0.110313
541	132452	89021	202.6	0.176458
542	129436	89221	191.3	0.173428
543	126421	89422	183.2	0.136026
544	138685	91673	233.3	0.146786
545	135671	91872	231.8	0.137397
546	132655	92074	224.3	0.166483
547	129640	92274	222.0	0.213705
548	126625	92474	205.1	0.156457
549	137462	73356	269.4	0.156975
550	134447	73557	255.8	0.134324
551	131433	73758	236.6	0.155291
552	128417	73959	225.9	0.129852
553	125402	74157	226.0	0.0597425
554	137665	76411	281.7	0.0988009
555	134650	76612	259.9	0.0991056
556	131634	76812	243.3	0.128904
557	128617	77012	227.4	0.316299
558	125602	77213	202.9	0.21405
559	153973	93717	262.7	0.180073
560	150958	93919	266.7	0.13377
561	147944	94120	250.4	0.205491
562	144924	94322	240.6	0.0702672
563	141905	94524	251.7	0.178187
564	154180	96769	240.1	0.220511
565	151164	96971	244.8	0.127575
566	148148	97173	257.9	0.17241
567	145131	97373	235.5	0.156338
568	142113	97575	216.8	0.14121
569	154383	99821	250.2	0.187363
570	151365	100023	228.6	0.133472
571	148349	100224	242.1	0.325126
572	145334	100427	232.5	0.29856
573	142316	100628	202.2	0.233704
574	152946	78458	306.2	0.190607
575	149932	78659	294.7	0.189611
576	146917	78860	279.5	0.25482
577	143900	79062	283.7	0.142868
578	140885	79263	276.0	0.186577
579	153152	81509	240.6	0.192192
580	150136	81711	242.5	0.191405
581	147120	81913	245.9	0.296201
582	144106	82113	245.2	0.253365
583	141092	82315	247.0	0.179229
584	153358	84561	189.5	0.0648323
585	150342	84762	222.1	0.0753567
586	147327	84964	218.3	0.156896
587	144312	85166	245.0	0.170962
588	141298	85366	221.9	0.126102
589	153565	87612	232.0	0.15183
590	150548	87815	252.6	0.121017
591	147532	88016	245.0	0.146355
592	144517	88217	251.8	0.159789
593	141501	88420	245.2	0.123871
594	153767	90666	239.0	0.166076
595	150751	90866	256.7	0.132713
596	147734	91069	260.0	0.107609
597	144718	91271	245.2	0.15199
598	141700	91470	234.0	0.176966
599	152535	72350	339.7	0.132163
600	149518	72552	325.4	0.167347
601	146506	72753	316.2	0.188958
602	143494	72955	304.8	0.123203
603	140479	73156	287.3	0.169842
604	152738	75403	315.0	0.137706
605	149724	75606	316.8	0.172744
606	146711	75808	309.3	0.197707
607	143695	76009	299.9	0.119085
608	140678	76210	285.7	0.132362
609	169056	92703	184.7	0.182391
610	166042	92907	200.1	0.126432
611	163022	93110	232.9	0.117873
612	160006	93312	213.1	0.18638
613	156991	93515	255.9	0.161974
614	169261	95756	217.9	0.508179
615	166246	95958	237.0	0.143346
616	163228	96161	236.8	0.214234
617	160212	96366	255.9	0.197835
618	157197	96565	248.1	0.154693
619	169465	98808	264.5	0.19395
620	166450	99010	282.7	0.214395
621	163434	99214	274.9	0.219922
622	160416	99416	261.2	0.243121
623	157399	99619	265.8	0.243412
624	168023	77444	355.4	0.163799
625	165005	77648	354.2	0.160201
626	161991	77851	325.1	0.159995
627	158979	78052	309.1	0.162631
628	155962	78255	291.7	0.153665
629	168231	80496	322.4	0.219144
630	165214	80699	305.4	0.165514
631	162198	80902	296.6	0.17247
632	159185	81105	239.6	0.275029
633	156169	81306	248.8	0.199661
634	168438	83548	241.4	0.189758
635	165422	83751	226.7	0.192989
636	162406	83954	199.3	0.330288
637	159391	84156	201.4	0.490521
638	156374	84358	193.1	0.122008
639	168647	86600	218.3	0.313046
640	165631	86802	207.3	0.242031
641	162613	87007	179.0	0.213738
642	159596	87207	168.3	0.256094
643	156581	87411	191.5	0.0551581
644	168852	89651	205.8	0.207137
645	165836	89854	203.5	0.115825
646	162817	90058	186.9	0.143294
647	159799	90261	193.9	0.267425
648	156783	90463	220.3	0.152664
649	167810	74392	321.1	0.165514
650	164794	74595	350.1	0.158539
651	161781	74797	328.0	0.155185
652	158767	75000	358.3	0.154181
653	155751	75203	339.9	0.1624
654	184134	91685	138.6	0.430713
655	181119	91889	139.2	0.572931
656	178105	92094	184.9	0.218919
657	175088	92297	179.4	0.151427
658	172069	92501	175.4	0.184049
659	184341	94738	185.7	0.268564
660	181325	94941	148.6	0.254296
661	178312	95144	210.3	0.203398
662	175294	95349	188.4	0.168194
663	172275	95552	194.9	0.209188
664	184547	97788	225.2	0.19879
665	181531	97993	184.1	0.274154
666	178519	98197	196.0	0.181578
667	175501	98400	222.2	0.144927
668	172482	98605	251.9	0.107607
669	184755	100841	183.9	0.340558
670	181740	101045	193.3	0.323195
671	178726	101248	245.6	0.170011
672	183100	76426	344.6	0.152025
673	180084	76630	389.8	0.160953
674	177069	76834	294.8	0.165043
675	174049	77038	203.6	0.230189
676	171034	77242	320.8	0.167593
677	183306	79478	320.6	0.151182
678	180290	79682	321.7	0.158518
679	177277	79886	272.7	0.173807
680	174260	80089	265.1	0.157562
681	171243	80293	330.8	0.157449
682	183513	82529	274.0	0.162814
683	180496	82734	321.3	0.165514
684	177482	82938	260.4	0.16116
685	174466	83141	216.1	0.142355
686	171450	83344	289.0	0.165446
687	183723	85581	271.5	0.160363
688	180705	85785	221.8	0.218782
689	177691	85989	212.1	0.166168
690	174673	86194	158.9	0.266346
691	171657	86396	197.8	0.214937
692	183928	88633	204.9	0.164388
693	180911	88837	146.8	0.278625
