ID	X	Y	ALT	BETA
23361	220500.000000	40500.000000	344.4	0.209302
23362	220500.000000	39500.000000	349.7	0.061090
23363	220500.000000	38500.000000	313.7	0.021071
23364	220500.000000	37500.000000	284.2	0.073089
23365	220500.000000	36500.000000	287.3	0.170049
23366	220500.000000	35500.000000	267.2	0.277696
23367	220500.000000	34500.000000	234.1	0.345806
23368	221500.000000	218500.000000	35.9	0.349289
23369	221500.000000	217500.000000	35.4	0.345356
23370	221500.000000	216500.000000	35.1	0.438863
23371	221500.000000	215500.000000	38.0	0.545808
23372	221500.000000	214500.000000	43.5	0.717589
23373	221500.000000	213500.000000	42.9	0.810142
23374	221500.000000	212500.000000	41.3	0.785119
23375	221500.000000	211500.000000	44.2	0.712110
23376	221500.000000	210500.000000	48.1	0.543079
23377	221500.000000	209500.000000	51.1	0.419876
23378	221500.000000	208500.000000	50.1	0.348643
23379	221500.000000	207500.000000	59.1	0.365131
23380	221500.000000	206500.000000	62.4	0.390804
23381	221500.000000	205500.000000	65.0	0.435608
23382	221500.000000	204500.000000	62.6	0.520375
23383	221500.000000	203500.000000	63.6	0.544743
23384	221500.000000	202500.000000	59.2	0.538524
23385	221500.000000	201500.000000	59.6	0.495375
23386	221500.000000	200500.000000	62.7	0.443594
23387	221500.000000	199500.000000	67.2	0.329679
23388	221500.000000	198500.000000	69.2	0.276136
23389	221500.000000	197500.000000	68.5	0.315449
23390	221500.000000	196500.000000	65.6	0.349815
23391	221500.000000	195500.000000	66.4	0.418463
23392	221500.000000	194500.000000	72.1	0.492320
23393	221500.000000	193500.000000	67.7	0.527666
23394	221500.000000	192500.000000	65.2	0.579887
23395	221500.000000	191500.000000	60.1	0.657883
23396	221500.000000	190500.000000	63.2	0.657539
23397	221500.000000	189500.000000	56.8	0.672621
23398	221500.000000	188500.000000	50.2	0.654988
23399	221500.000000	187500.000000	47.3	0.618700
23400	221500.000000	186500.000000	46.7	0.622207
23401	221500.000000	185500.000000	43.8	0.570356
23402	221500.000000	184500.000000	44.1	0.542111
23403	221500.000000	183500.000000	40.8	0.536295
23404	221500.000000	182500.000000	39.7	0.564358
23405	221500.000000	181500.000000	37.7	0.631219
23406	221500.000000	180500.000000	35.0	0.640416
23407	221500.000000	179500.000000	31.9	0.630054
23408	221500.000000	178500.000000	36.9	0.600217
23409	221500.000000	177500.000000	45.1	0.561083
23410	221500.000000	176500.000000	52.0	0.526677
23411	221500.000000	175500.000000	58.0	0.522178
23412	221500.000000	174500.000000	44.0	0.508138
23413	221500.000000	173500.000000	37.3	0.499212
23414	221500.000000	172500.000000	45.3	0.507507
23415	221500.000000	171500.000000	55.7	0.479160
23416	221500.000000	170500.000000	61.8	0.493054
23417	221500.000000	169500.000000	64.4	0.492779
23418	221500.000000	168500.000000	64.4	0.508781
23419	221500.000000	167500.000000	67.8	0.528992
23420	221500.000000	166500.000000	86.4	0.501807
23421	221500.000000	165500.000000	103.3	0.450736
23422	221500.000000	164500.000000	113.2	0.397984
23423	221500.000000	163500.000000	102.3	0.358319
23424	221500.000000	162500.000000	96.8	0.318610
23425	221500.000000	161500.000000	90.0	0.297089
23426	221500.000000	160500.000000	79.9	0.293954
23427	221500.000000	159500.000000	88.4	0.295243
23428	221500.000000	158500.000000	105.0	0.327784
23429	221500.000000	157500.000000	118.5	0.356117
23430	221500.000000	156500.000000	105.5	0.447270
23431	221500.000000	155500.000000	114.6	0.559661
23432	221500.000000	154500.000000	118.4	0.550404
23433	221500.000000	153500.000000	128.3	0.542087
23434	221500.000000	152500.000000	131.9	0.462385
23435	221500.000000	151500.000000	133.7	0.330186
23436	221500.000000	150500.000000	140.7	0.331988
23437	221500.000000	149500.000000	146.6	0.320017
23438	221500.000000	148500.000000	153.3	0.333205
23439	221500.000000	147500.000000	162.8	0.348399
23440	221500.000000	146500.000000	169.3	0.357792
23441	221500.000000	145500.000000	176.3	0.451980
23442	221500.000000	144500.000000	171.3	0.485569
23443	221500.000000	143500.000000	169.5	0.501509
23444	221500.000000	142500.000000	180.2	0.597151
23445	221500.000000	141500.000000	184.9	0.660073
23446	221500.000000	140500.000000	200.2	0.635353
23447	221500.000000	139500.000000	193.3	0.587027
23448	221500.000000	138500.000000	100.2	0.428934
23449	221500.000000	137500.000000	82.5	0.248677
23450	221500.000000	136500.000000	156.1	0.202964
23451	221500.000000	135500.000000	178.1	0.303900
23452	221500.000000	134500.000000	195.6	0.407033
23453	221500.000000	133500.000000	232.3	0.431915
23454	221500.000000	132500.000000	214.5	0.466413
23455	221500.000000	131500.000000	215.9	0.432074
23456	221500.000000	130500.000000	231.3	0.362531
23457	221500.000000	129500.000000	240.9	0.346350
23458	221500.000000	128500.000000	260.2	0.325859
23459	221500.000000	127500.000000	264.3	0.298528
23460	221500.000000	126500.000000	253.4	0.299251
23461	221500.000000	125500.000000	245.3	0.337444
23462	221500.000000	124500.000000	240.4	0.360687
23463	221500.000000	123500.000000	251.8	0.368616
23464	221500.000000	122500.000000	265.7	0.421635
23465	221500.000000	121500.000000	282.3	0.380252
23466	221500.000000	120500.000000	300.8	0.370016
23467	221500.000000	119500.000000	277.5	0.400240
23468	221500.000000	118500.000000	281.4	0.391467
23469	221500.000000	117500.000000	304.6	0.428038
23470	221500.000000	116500.000000	280.4	0.463134
23471	221500.000000	115500.000000	313.8	0.463063
23472	221500.000000	114500.000000	304.0	0.463180
23473	221500.000000	113500.000000	242.1	0.455263
23474	221500.000000	112500.000000	230.2	0.445709
23475	221500.000000	111500.000000	236.0	0.442874
23476	221500.000000	110500.000000	226.9	0.386707
23477	221500.000000	109500.000000	238.7	0.349873
23478	221500.000000	108500.000000	222.7	0.251351
23479	221500.000000	107500.000000	186.0	0.158434
23480	221500.000000	106500.000000	184.1	0.187921
23481	221500.000000	105500.000000	180.5	0.315701
23482	221500.000000	104500.000000	193.9	0.450141
23483	221500.000000	103500.000000	193.9	0.505017
23484	221500.000000	102500.000000	196.5	0.533239
23485	221500.000000	101500.000000	209.4	0.462443
23486	221500.000000	100500.000000	247.6	0.362374
23487	221500.000000	99500.000000	285.0	0.371488
23488	221500.000000	98500.000000	349.9	0.372817
23489	221500.000000	97500.000000	303.8	0.370389
23490	221500.000000	96500.000000	269.8	0.412912
23491	221500.000000	95500.000000	257.3	0.409036
23492	221500.000000	94500.000000	261.0	0.371540
23493	221500.000000	93500.000000	284.6	0.346682
23494	221500.000000	92500.000000	319.7	0.317683
23495	221500.000000	91500.000000	344.1	0.221254
23496	221500.000000	90500.000000	372.4	0.160323
23497	221500.000000	89500.000000	389.0	0.099815
23498	221500.000000	88500.000000	343.9	0.019083
23499	221500.000000	87500.000000	372.5	0.019454
23500	221500.000000	86500.000000	424.7	0.009580
23501	221500.000000	85500.000000	386.7	0.009580
23502	221500.000000	84500.000000	345.9	0.009580
23503	221500.000000	83500.000000	406.7	0.030623
23504	221500.000000	82500.000000	488.2	0.141096
23505	221500.000000	81500.000000	528.0	0.295870
23506	221500.000000	80500.000000	496.7	0.401818
23507	221500.000000	79500.000000	436.3	0.466051
23508	221500.000000	78500.000000	401.6	0.453341
23509	221500.000000	77500.000000	393.2	0.374968
23510	221500.000000	76500.000000	424.0	0.325163
23511	221500.000000	75500.000000	461.4	0.278976
23512	221500.000000	74500.000000	491.6	0.249909
23513	221500.000000	73500.000000	505.2	0.196015
23514	221500.000000	72500.000000	468.4	0.128385
23515	221500.000000	71500.000000	464.2	0.084307
23516	221500.000000	70500.000000	472.0	0.119407
23517	221500.000000	69500.000000	481.6	0.297728
23518	221500.000000	68500.000000	476.2	0.436308
23519	221500.000000	67500.000000	477.9	0.542607
23520	221500.000000	66500.000000	472.0	0.580409
23521	221500.000000	65500.000000	480.9	0.473466
23522	221500.000000	64500.000000	475.7	0.360626
23523	221500.000000	63500.000000	469.9	0.278691
23524	221500.000000	62500.000000	473.7	0.267456
23525	221500.000000	61500.000000	451.7	0.345123
23526	221500.000000	60500.000000	447.1	0.421379
23527	221500.000000	59500.000000	426.7	0.451778
23528	221500.000000	58500.000000	409.5	0.418047
23529	221500.000000	57500.000000	417.4	0.425008
