ID	LAMBX	LAMBY	ALT	BETA
422	254162	53139	368.9	0.0583908
423	251148	53348	415.3	0.0622035
424	248135	53558	460.0	0.00926686
425	245123	53767	462.5	0
426	255248	25477	329.2	0.341469
427	252236	25687	314.0	0.463448
428	249227	25895	378.2	0.154058
429	246216	26105	320.1	0.177838
430	243205	26314	284.2	0.127034
431	255467	28527	279.4	0.556333
432	252452	28738	291.3	0.253614
433	249440	28947	283.8	0.204649
434	246432	29155	265.3	0.207354
435	243421	29365	264.3	0.113109
436	255685	31579	307.7	0.239852
437	252670	31788	334.6	0.128009
438	249657	31998	322.8	0.0631562
439	246648	32208	308.8	0.0385304
440	243638	32416	280.5	0.0239242
441	255895	34630	333.9	0.14178
442	252883	34840	309.1	0.146593
443	249870	35051	354.0	0.0769471
444	246859	35259	361.5	0.109267
445	243849	35469	315.3	0.0806795
446	256105	37682	339.4	0.195353
447	253096	37891	340.0	0.111405
448	250085	38101	361.5	0.0748015
449	247072	38311	362.4	0
450	244059	38519	351.4	0.0456706
451	271380	39680	334.4	0.120487
452	268369	39891	314.5	0.118355
453	265356	40102	323.6	0.182726
454	262345	40312	320.4	0.231184
455	259333	40522	331.8	0.0788127
456	271595	42730	353.4	0.108186
457	268584	42940	321.0	0.0954022
458	265573	43150	329.8	0.0313662
459	262560	43361	331.0	0.0606282
460	259548	43572	339.6	0.0792826
461	271814	45778	317.8	0.0116309
462	268801	45989	338.6	0.0806804
463	265788	46200	338.1	0.0674271
464	262774	46410	309.9	0.0668815
465	259761	46620	344.6	0.110025
466	272025	48827	314.6	0.0443579
467	269013	49038	311.7	0.165649
468	266000	49248	287.4	0.0502277
469	262987	49460	284.0	0.0400264
470	259972	49670	284.4	0.0522786
471	272238	51877	271.6	0.0053282
472	269227	52087	283.9	0.0699682
473	266217	52299	276.3	0.111713
474	263204	52508	281.9	0.0837444
475	260188	52720	304.9	0.172223
476	270302	24425	286.8	0.412382
477	267291	24635	291.5	0.376846
478	264281	24847	325.1	0.317266
479	261270	25056	315.3	0.464696
480	258259	25266	387.0	0.0727951
481	270518	27476	317.9	0.168576
482	267507	27687	308.9	0.142238
483	264495	27897	318.9	0.182101
484	261484	28107	291.4	0.298051
485	258476	28318	302.1	0.461095
486	270737	30527	323.4	0.0412459
487	267724	30738	330.0	0.160378
488	264713	30949	342.9	0.144916
489	261703	31159	326.8	0.180913
490	258694	31369	342.3	0.0924959
491	270950	33579	296.0	0.166668
492	267939	33789	326.6	0.0674298
493	264929	34000	339.1	0.162655
494	261917	34211	364.1	0.0708259
495	258905	34421	343.0	0.080342
496	271165	36630	317.8	0.308907
497	268153	36842	309.3	0.24029
498	265142	37052	322.1	0.102876
499	262130	37261	321.2	0.139111
500	259117	37473	327.7	0.16445
501	108729	96722	146.7	0.0761644
502	105715	96920	168.5	0
503	102697	97117	167.6	0.0106976
504	99678	97317	155.1	0.0898719
505	96663	97514	135.1	0.224841
506	108931	99773	144.5	0.208057
507	105913	99972	168.0	0.0174681
508	102898	100170	165.7	0.0433572
509	99880	100368	144.9	0.039402
510	96862	100567	126.3	0.228592
511	138889	94725	249.6	0.0260802
512	135875	94925	228.9	0.131254
513	132861	95125	223.7	0.120464
514	129847	95325	206.0	0.103318
515	126831	95526	196.7	0.188154
516	139094	97777	235.8	0.105309
517	136079	97977	214.3	0.0945436
518	133066	98177	215.8	0.0563764
519	130051	98378	203.0	0.065373
520	127033	98578	180.9	0.110912
521	139299	100827	199.6	0.121098
522	136283	101031	210.5	0.0458717
523	133268	101228	211.3	0.0349981
524	137872	79464	269.1	0.0546974
525	134858	79664	247.6	0.23885
526	131842	79866	247.2	0.0848701
527	128827	80065	227.0	0.116108
528	125812	80265	199.6	0.149318
529	138076	82516	222.5	0.148508
530	135061	82717	214.5	0.120419
531	132045	82916	221.8	0.156847
532	129031	83117	197.1	0.100289
533	126017	83317	193.0	0.00493267
534	138281	85568	199.2	0
535	135264	85768	203.5	0
536	132248	85970	207.6	0
537	129232	86170	204.9	0
538	126218	86369	213.3	0.0711133
539	138484	88619	213.5	0.00606313
540	135468	88822	202.2	0.0186208
541	132452	89021	202.6	0.0725742
542	129436	89221	191.3	0.10777
543	126421	89422	183.2	0.0690494
544	138685	91673	233.3	0.053084
545	135671	91872	231.8	0.0077868
546	132655	92074	224.3	0.0345866
547	129640	92274	222.0	0.0801697
548	126625	92474	205.1	0.0945011
549	137462	73356	269.4	0.0742331
550	134447	73557	255.8	0.00197114
551	131433	73758	236.6	0.0637216
552	128417	73959	225.9	0.0224343
553	125402	74157	226.0	0.00791301
554	137665	76411	281.7	0.00996859
555	134650	76612	259.9	0.0559699
556	131634	76812	243.3	0.0721624
557	128617	77012	227.4	0.229971
558	125602	77213	202.9	0.189439
559	153973	93717	262.7	0.0785374
560	150958	93919	266.7	0.0511254
561	147944	94120	250.4	0.166565
562	144924	94322	240.6	0.0225947
563	141905	94524	251.7	0.0397643
564	154180	96769	240.1	0.164984
565	151164	96971	244.8	0.0779704
566	148148	97173	257.9	0.0667972
567	145131	97373	235.5	0.0645112
568	142113	97575	216.8	0.0914356
569	154383	99821	250.2	0.0599366
570	151365	100023	228.6	0.0380474
571	148349	100224	242.1	0.148482
572	145334	100427	232.5	0.182842
573	142316	100628	202.2	0.153472
574	152946	78458	306.2	0.085055
575	149932	78659	294.7	0.114123
576	146917	78860	279.5	0.199779
577	143900	79062	283.7	0.0428798
578	140885	79263	276.0	0.115522
579	153152	81509	240.6	0.123862
580	150136	81711	242.5	0.10196
581	147120	81913	245.9	0.235838
582	144106	82113	245.2	0.163475
583	141092	82315	247.0	0.107923
584	153358	84561	189.5	0.0392331
585	150342	84762	222.1	0
586	147327	84964	218.3	0.0659676
587	144312	85166	245.0	0.0720525
588	141298	85366	221.9	0.0363867
589	153565	87612	232.0	0.00537633
590	150548	87815	252.6	0
591	147532	88016	245.0	0.02068
592	144517	88217	251.8	0
593	141501	88420	245.2	0
594	153767	90666	239.0	0.029396
595	150751	90866	256.7	0
596	147734	91069	260.0	0.0613957
597	144718	91271	245.2	0.0684732
598	141700	91470	234.0	0.0820944
599	152535	72350	339.7	0
600	149518	72552	325.4	0.0800341
601	146506	72753	316.2	0.0422797
602	143494	72955	304.8	0.035588
603	140479	73156	287.3	0.115708
604	152738	75403	315.0	0.000105953
605	149724	75606	316.8	0.0209784
606	146711	75808	309.3	0.0816797
607	143695	76009	299.9	0.0289271
608	140678	76210	285.7	0.0497404
609	169056	92703	184.7	0.0349525
610	166042	92907	200.1	0.0425829
611	163022	93110	232.9	0.0094187
612	160006	93312	213.1	0.102451
613	156991	93515	255.9	0.00990293
614	169261	95756	217.9	0.0712228
615	166246	95958	237.0	0.0665763
616	163228	96161	236.8	0.122875
617	160212	96366	255.9	0.122768
618	157197	96565	248.1	0.108688
619	169465	98808	264.5	0.0756687
620	166450	99010	282.7	0.125564
621	163434	99214	274.9	0.17249
622	160416	99416	261.2	0.122531
623	157399	99619	265.8	0.115924
624	168023	77444	355.4	0.0121887
625	165005	77648	354.2	0
626	161991	77851	325.1	0
627	158979	78052	309.1	0
628	155962	78255	291.7	0.00739855
629	168231	80496	322.4	0.0859631
630	165214	80699	305.4	0
631	162198	80902	296.6	0.0255424
632	159185	81105	239.6	0.219277
633	156169	81306	248.8	0.153457
634	168438	83548	241.4	0.0668461
635	165422	83751	226.7	0.0610844
636	162406	83954	199.3	0.259226
637	159391	84156	201.4	0.205739
638	156374	84358	193.1	0.0648095
639	168647	86600	218.3	0.150026
640	165631	86802	207.3	0.145258
641	162613	87007	179.0	0.133175
642	159596	87207	168.3	0.181683
643	156581	87411	191.5	0.0156005
644	168852	89651	205.8	0.121954
645	165836	89854	203.5	0.00242884
646	162817	90058	186.9	0.0424306
647	159799	90261	193.9	0.14103
648	156783	90463	220.3	0
649	167810	74392	321.1	0
650	164794	74595	350.1	0
651	161781	74797	328.0	0.0448174
652	158767	75000	358.3	0.00923527
653	155751	75203	339.9	0.0232908
654	184134	91685	138.6	0.319684
655	181119	91889	139.2	0.401659
656	178105	92094	184.9	0.106122
657	175088	92297	179.4	0.0667442
658	172069	92501	175.4	0.0694534
659	184341	94738	185.7	0.134634
660	181325	94941	148.6	0.173011
661	178312	95144	210.3	0.0564296
662	175294	95349	188.4	0.057715
663	172275	95552	194.9	0.1347
664	184547	97788	225.2	0.115768
665	181531	97993	184.1	0.148734
666	178519	98197	196.0	0.0456618
667	175501	98400	222.2	0.021138
668	172482	98605	251.9	0.0287232
669	184755	100841	183.9	0.192957
670	181740	101045	193.3	0.247499
671	178726	101248	245.6	0.0337102
672	183100	76426	344.6	0.0240533
673	180084	76630	389.8	0
674	177069	76834	294.8	0.00274807
675	174049	77038	203.6	0.139349
676	171034	77242	320.8	0.00834546
677	183306	79478	320.6	0.00839017
678	180290	79682	321.7	0.0268444
679	177277	79886	272.7	0.0185866
680	174260	80089	265.1	0.008184
681	171243	80293	330.8	0.027671
682	183513	82529	274.0	0.004661
683	180496	82734	321.3	0
684	177482	82938	260.4	0
685	174466	83141	216.1	0.00678101
686	171450	83344	289.0	0
687	183723	85581	271.5	0.0380504
688	180705	85785	221.8	0.113814
689	177691	85989	212.1	0.0338903
690	174673	86194	158.9	0.205006
691	171657	86396	197.8	0.0880953
692	183928	88633	204.9	0.0514612
693	180911	88837	146.8	0.0768788
694	177898	89041	165.4	0.106331
695	174881	89244	205.3	0.105623
696	171864	89449	222.8	0.0792868
697	182887	73374	398.2	0.00305077
698	179874	73577	446.6	0
699	176858	73781	425.6	0
700	173841	73986	260.2	0.110142
701	170825	74187	261.7	0.001402
702	199217	90660	151.9	0.0763842
703	196202	90866	151.6	0.0984977
704	193182	91071	166.4	0.130222
705	190165	91276	193.7	0.195169
706	187150	91481	173.3	0.0359968
707	199426	93712	150.5	0.136513
708	196411	93916	197.2	0.0808495
709	193391	94122	205.3	0.0129149
710	190374	94328	252.1	0.116681
711	187359	94532	247.4	0.127747
712	199631	96764	183.8	0.0307071
713	196616	96970	162.5	0.107055
714	193600	97174	217.3	0.0233607
715	190583	97380	246.8	0.0765207
716	187566	97585	258.2	0.160039
717	199842	99816	254.3	0.0474401
718	196825	100021	236.7	0.100369
719	193809	100227	203.0	0.106254
720	190791	100431	188.5	0.103906
721	187772	100636	184.3	0.193781
722	198171	75403	363.3	0.0519904
723	195159	75607	400.6	0.0668602
724	192143	75812	366.2	0.0855345
725	189125	76016	358.3	0.0466033
726	186112	76222	375.4	0.0736467
727	198382	78453	417.7	0.0117629
728	195366	78658	400.1	0.00834209
729	192351	78863	380.5	0.0509427
730	189335	79069	334.3	0.0659002
731	186320	79273	336.7	0.0199951
732	198588	81505	367.8	0
733	195572	81710	349.1	0.0102361
734	192560	81915	347.6	0.035929
735	189544	82120	344.1	0.0404509
736	186529	82325	326.4	0.00312383
737	198797	84556	287.2	0.0470174
738	195783	84763	276.9	0.0261621
739	192768	84967	288.4	0.0602281
740	189754	85171	316.5	0.0058186
741	186740	85377	314.7	0.00743014
742	199007	87609	212.1	0.0171755
743	195992	87813	245.9	0.0821364
744	192974	88020	245.5	0.126178
745	189959	88224	243.4	0.110127
746	186945	88429	245.6	0.160126
747	194944	72553	397.2	1.70501e-05
748	191929	72760	364.3	0.0859336
749	188914	72965	360.3	0.0406748
750	185900	73167	406.6	0.00182461
751	214296	89630	269.8	0.113214
752	211281	89836	242.2	0.0700334
753	208263	90043	189.0	0.1087
754	205247	90248	192.2	0.080823
755	202231	90455	177.1	0.0682926
756	214507	92682	251.2	0.154421
757	211490	92888	253.1	0.150996
758	208474	93094	186.6	0.0623698
759	205459	93301	160.0	0.0941908
760	202442	93506	167.2	0.0813704
761	214718	95733	254.0	0.263926
762	211699	95941	219.6	0.18883
763	208682	96147	202.9	0.15405
764	205666	96352	191.5	0.0374808
765	202649	96558	202.3	0.0378609
766	214926	98785	274.5	0.170393
767	211908	98991	229.7	0.104242
